wavelength,scan_5_nm.sec,wavelength,scan_10_nm.sec,wavelength,scan_20_nm.sec,wavelength,scan_60_nm.sec,wavelength,scan_120_nm.sec,wavelength,scan_200_nm.sec,wavelength,scan_300_nm.sec,wavelength,scan_750_nm.sec,wavelength,scan_1500_nm.sec
240.1,-0.009,240.2,-0.009,240.4,-0.001,240.2,-0.011,240.1,-0.006,240.1,-0.021,240.4,-0.002,240.1,-0.001,238.1,0.000
240.5,-0.011,240.7,-0.007,240.9,0.003,240.7,-0.017,240.6,-0.005,240.5,-0.013,240.8,0.001,240.6,-0.001,238.6,0.000
240.4,-0.021,241.2,-0.005,241.4,0.001,241.2,-0.004,241.1,-0.012,241.0,-0.009,241.3,0.001,241.1,0.000,239.0,0.001
241.0,-0.007,241.7,-0.007,241.9,0.009,241.6,-0.002,241.6,-0.014,241.5,-0.009,241.8,0.002,241.6,0.002,239.5,0.002
241.4,-0.001,242.1,-0.002,242.3,0.016,242.1,-0.004,242.0,-0.008,242.0,-0.009,242.3,0.003,242.1,0.003,240.0,0.004
241.9,-0.005,242.7,0.006,242.8,0.015,242.6,-0.002,242.5,-0.007,242.5,-0.009,242.8,0.006,242.5,0.006,240.5,0.006
242.1,0.000,243.1,0.002,242.7,0.006,243.1,0.008,243.0,-0.003,242.9,-0.008,243.2,0.006,243.0,0.009,241.0,0.007
242.6,0.002,243.6,0.006,243.3,0.018,243.6,0.013,243.5,0.005,243.4,-0.005,243.7,0.006,243.5,0.013,241.5,0.010
242.9,-0.004,244.1,0.009,243.8,0.023,244.0,0.013,244.0,0.001,243.9,0.001,244.2,0.011,244.0,0.016,241.9,0.013
243.2,0.002,244.6,0.013,244.2,0.022,244.5,0.016,244.4,0.000,244.4,0.006,244.7,0.014,244.5,0.019,242.4,0.016
243.6,0.011,245.0,0.010,244.6,0.021,245.0,0.021,244.9,0.006,244.9,0.011,245.2,0.014,244.9,0.023,242.9,0.020
244.1,0.014,245.5,0.018,245.0,0.030,245.4,0.024,245.4,0.012,245.3,0.013,245.6,0.016,245.4,0.028,243.4,0.024
244.0,0.005,246.0,0.024,245.4,0.031,245.8,0.019,245.9,0.018,245.8,0.013,246.1,0.024,245.8,0.034,243.9,0.027
244.6,0.016,246.5,0.023,245.9,0.036,246.2,0.027,246.4,0.022,246.3,0.017,246.6,0.031,246.3,0.041,244.3,0.031
245.0,0.016,246.9,0.027,246.4,0.035,246.7,0.036,246.8,0.024,246.6,0.025,246.9,0.040,246.8,0.046,244.8,0.035
245.3,0.018,247.3,0.041,246.8,0.041,247.1,0.043,247.3,0.030,247.0,0.035,247.2,0.047,247.2,0.050,245.3,0.039
245.8,0.023,247.5,0.052,247.3,0.056,247.3,0.056,247.6,0.044,247.3,0.045,247.5,0.056,247.7,0.054,245.8,0.044
246.3,0.027,247.9,0.062,247.6,0.064,247.6,0.068,247.9,0.055,247.6,0.055,247.9,0.067,248.2,0.059,246.2,0.049
246.8,0.027,248.3,0.072,248.0,0.078,248.0,0.074,248.2,0.066,248.0,0.064,248.4,0.075,248.6,0.065,246.5,0.054
247.1,0.037,248.6,0.074,248.4,0.086,248.4,0.079,248.7,0.076,248.4,0.075,248.8,0.083,249.0,0.071,246.9,0.059
247.6,0.051,248.9,0.082,248.8,0.096,248.9,0.088,249.1,0.082,248.9,0.084,249.3,0.087,249.4,0.076,247.2,0.065
248.0,0.064,249.4,0.085,249.3,0.102,249.4,0.091,249.6,0.085,249.4,0.089,249.8,0.091,249.7,0.082,247.5,0.071
248.4,0.075,249.7,0.090,249.8,0.103,249.8,0.096,250.1,0.090,249.9,0.095,250.2,0.095,250.0,0.089,247.8,0.076
248.8,0.084,250.2,0.094,250.2,0.104,250.3,0.096,250.6,0.094,250.4,0.102,250.6,0.102,250.2,0.095,248.0,0.081
249.3,0.087,250.7,0.100,250.6,0.104,250.8,0.102,251.1,0.103,250.8,0.104,251.0,0.111,250.5,0.101,248.3,0.087
249.8,0.096,251.2,0.104,251.0,0.111,251.3,0.109,251.5,0.109,251.3,0.109,251.4,0.120,250.7,0.107,248.6,0.092
250.3,0.097,251.6,0.107,251.4,0.116,251.6,0.107,252.0,0.116,251.8,0.116,251.7,0.129,251.0,0.113,248.8,0.096
250.7,0.104,252.1,0.113,251.8,0.117,251.8,0.116,252.3,0.125,252.1,0.127,252.0,0.140,251.2,0.119,249.0,0.102
251.2,0.107,252.3,0.126,252.1,0.129,252.1,0.129,252.5,0.136,252.3,0.137,252.2,0.152,251.5,0.124,249.3,0.107
251.7,0.109,252.6,0.142,252.4,0.138,252.4,0.138,252.7,0.146,252.6,0.151,252.4,0.163,251.7,0.130,249.6,0.113
252.1,0.113,252.8,0.154,252.6,0.151,252.6,0.148,252.9,0.159,252.7,0.163,252.6,0.173,251.9,0.135,250.0,0.118
252.4,0.124,252.9,0.166,252.8,0.160,252.8,0.161,253.1,0.173,252.8,0.175,252.8,0.184,252.0,0.140,250.3,0.123
252.6,0.137,253.0,0.180,252.9,0.177,252.9,0.180,253.3,0.192,253.0,0.185,253.0,0.195,252.3,0.147,250.6,0.128
252.8,0.146,253.2,0.201,253.1,0.193,253.1,0.189,253.4,0.209,253.1,0.199,253.2,0.210,252.5,0.154,250.8,0.134
