wavelength,slit_0.25_nm,wavelength,slit_1.0_nm,wavelength,slit_2.0_nm,wavelength,slit_4.0_nm
240.0,-0.058,240.100,0.043,240.400,0.029,240.300,0.022
240.0,-0.071,240.100,0.054,240.800,0.030,240.800,0.027
239.9,-0.169,240.600,0.045,241.200,0.037,241.200,0.026
239.9,0.022,241.000,0.033,241.200,0.029,241.700,0.030
239.9,0.010,241.300,0.041,241.700,0.041,242.200,0.030
240.0,-0.143,241.600,0.050,242.200,0.043,242.700,0.033
240.0,-0.157,241.700,0.061,242.700,0.043,243.200,0.034
240.1,-0.126,241.800,0.037,242.800,0.034,243.600,0.037
240.4,-0.101,241.700,0.026,243.100,0.049,244.000,0.037
240.6,-0.034,242.000,0.063,243.600,0.049,244.400,0.043
240.6,-0.050,242.200,0.051,244.100,0.048,244.800,0.045
240.6,-0.063,242.100,0.041,244.600,0.051,245.200,0.048
240.6,-0.076,242.600,0.049,245.100,0.053,245.600,0.053
240.6,-0.088,242.700,0.039,245.100,0.043,246.000,0.059
240.6,0.047,243.100,0.056,245.500,0.059,246.400,0.066
240.6,0.034,243.600,0.047,245.800,0.050,246.800,0.070
240.6,0.022,243.700,0.054,246.100,0.062,247.200,0.074
240.6,0.009,244.000,0.056,246.600,0.067,247.500,0.082
240.6,-0.004,244.100,0.046,247.000,0.075,247.800,0.089
240.6,-0.016,244.300,0.073,247.400,0.086,248.300,0.095
240.8,-0.118,244.400,0.062,247.800,0.097,248.700,0.100
240.8,-0.141,244.600,0.049,248.300,0.107,249.200,0.106
241.2,-0.127,244.900,0.062,248.700,0.115,249.600,0.117
241.2,-0.078,244.800,0.074,249.100,0.116,250.000,0.123
241.3,-0.101,245.400,0.065,249.600,0.122,250.300,0.128
241.4,-0.112,245.900,0.065,250.100,0.127,250.500,0.136
241.3,-0.038,245.900,0.072,250.500,0.126,250.800,0.143
241.3,-0.055,245.900,0.084,251.000,0.134,251.200,0.154
241.3,-0.064,246.300,0.061,251.500,0.143,251.400,0.162
241.4,-0.008,246.800,0.075,251.900,0.152,251.600,0.170
241.4,-0.020,247.100,0.081,252.200,0.163,251.800,0.178
241.6,-0.080,247.400,0.092,252.400,0.175,252.100,0.187
241.7,-0.095,247.800,0.098,252.600,0.182,252.200,0.194
241.9,-0.116,248.100,0.119,252.700,0.192,252.400,0.202
241.9,-0.034,247.900,0.111,253.000,0.207,252.600,0.210
241.9,-0.049,248.200,0.129,253.100,0.217,252.900,0.220
241.9,-0.062,248.500,0.119,253.200,0.230,253.000,0.229
241.9,-0.133,249.000,0.123,253.300,0.244,253.200,0.237
242.2,-0.075,249.400,0.126,253.400,0.251,253.400,0.244
242.2,-0.090,249.800,0.128,253.700,0.269,253.700,0.253
242.2,-0.102,249.900,0.137,253.900,0.276,254.200,0.263
242.3,0.043,250.400,0.138,254.000,0.285,254.500,0.267
242.3,0.029,250.800,0.143,254.200,0.298,255.000,0.267
242.3,0.015,251.100,0.148,254.300,0.304,255.500,0.269
242.3,0.004,251.000,0.159,254.800,0.315,256.000,0.272
242.3,-0.009,251.600,0.144,255.300,0.313,256.300,0.278
242.3,-0.021,251.700,0.152,255.600,0.307,256.600,0.285
242.3,-0.038,252.000,0.142,256.000,0.297,256.900,0.292
242.3,-0.055,252.200,0.160,256.300,0.287,257.100,0.300
242.2,-0.064,252.000,0.150,256.600,0.277,257.300,0.309
242.2,-0.114,252.600,0.169,257.000,0.267,257.500,0.317
242.6,0.061,252.800,0.183,257.500,0.255,257.700,0.326
242.5,0.126,252.900,0.196,257.900,0.257,257.900,0.335
242.5,0.114,253.000,0.208,258.200,0.269,258.000,0.345
242.5,0.102,253.200,0.223,258.400,0.282,258.200,0.354
242.7,0.085,253.300,0.232,258.500,0.290,258.400,0.361
242.7,0.073,253.400,0.255,258.500,0.299,258.600,0.371
242.8,0.037,253.400,0.242,258.700,0.314,258.800,0.379
242.8,0.019,253.500,0.266,258.800,0.322,259.200,0.389
242.8,0.009,253.600,0.280,258.900,0.344,259.600,0.391
243.0,0.051,253.800,0.290,258.800,0.331,260.000,0.384
243.0,-0.008,254.100,0.304,258.900,0.357,260.200,0.375
243.2,-0.026,254.500,0.316,259.000,0.366,260.500,0.368
243.2,-0.038,254.800,0.328,259.100,0.378,260.600,0.362
243.2,-0.051,254.900,0.336,259.200,0.399,260.700,0.352
243.3,-0.063,255.300,0.319,259.200,0.390,260.900,0.344
243.3,-0.074,255.800,0.315,259.300,0.419,261.100,0.335
243.3,-0.087,256.100,0.310,259.200,0.407,261.200,0.326
243.3,-0.100,256.300,0.294,259.300,0.432,261.300,0.319
243.3,-0.113,256.400,0.287,259.500,0.448,261.500,0.310
243.3,-0.125,256.900,0.276,259.500,0.460,261.600,0.303
243.2,-0.139,257.200,0.266,259.600,0.471,261.700,0.295
243.2,-0.151,257.600,0.254,259.700,0.480,261.900,0.286
243.7,0.010,258.100,0.247,259.800,0.495,262.000,0.276
243.6,-0.006,258.500,0.251,260.000,0.512,262.100,0.270
243.6,-0.020,258.600,0.272,260.400,0.519,262.200,0.264
243.8,0.043,258.800,0.295,260.700,0.504,262.300,0.257
243.8,0.027,258.900,0.315,260.900,0.495,262.500,0.248
243.8,0.091,259.000,0.330,260.900,0.483,262.700,0.237
243.8,0.078,259.000,0.321,261.000,0.471,262.900,0.228
243.8,0.066,259.100,0.358,261.100,0.463,263.000,0.216
244.2,0.009,259.100,0.344,261.200,0.455,263.200,0.206
244.1,-0.007,259.200,0.385,261.300,0.443,263.400,0.198
244.1,-0.017,259.200,0.376,261.500,0.426,263.600,0.189
244.1,-0.030,259.200,0.367,261.600,0.413,263.900,0.181
244.1,-0.044,259.200,0.415,261.700,0.404,264.200,0.175
244.1,-0.060,259.200,0.405,261.700,0.391,264.400,0.169
244.1,-0.073,259.200,0.395,261.800,0.379,264.700,0.162
244.1,-0.089,259.300,0.443,261.900,0.365,265.200,0.155
244.1,-0.098,259.300,0.433,262.100,0.355,265.600,0.150
244.1,-0.110,259.300,0.424,262.200,0.342,266.100,0.146
244.1,-0.123,259.400,0.455,262.300,0.332,266.600,0.144
244.6,0.025,259.500,0.473,262.400,0.322,267.100,0.139
244.7,0.047,259.600,0.498,262.400,0.311,267.600,0.134
244.8,0.065,259.500,0.485,262.600,0.298,268.000,0.128
244.6,0.007,259.600,0.510,262.800,0.288,268.500,0.122
244.5,-0.001,259.700,0.524,262.900,0.276,269.000,0.115
244.7,0.135,259.800,0.542,263.000,0.264,269.400,0.108
244.9,0.122,259.900,0.556,263.200,0.250,269.900,0.101
244.9,0.109,260.200,0.567,263.400,0.239,270.400,0.096
244.9,0.095,260.500,0.554,263.600,0.227,270.900,0.090
244.9,0.082,260.600,0.545,263.800,0.216,271.300,0.084
244.9,0.069,260.700,0.535,264.000,0.206,271.800,0.081
245.1,0.046,260.900,0.525,264.200,0.196,272.300,0.078
245.1,0.031,261.000,0.509,264.500,0.185,272.800,0.076
245.1,0.019,261.200,0.496,264.800,0.174,273.300,0.073
245.1,0.006,261.300,0.480,265.100,0.165,273.700,0.072
245.1,-0.008,261.400,0.469,265.500,0.154,274.200,0.070
245.5,-0.017,261.400,0.459,266.000,0.148,274.700,0.068
245.4,-0.034,261.500,0.445,266.500,0.150,275.200,0.066
245.4,-0.065,261.600,0.433,266.900,0.156,275.700,0.065
245.4,-0.081,261.700,0.424,267.300,0.164,276.200,0.063
245.3,-0.095,261.800,0.411,267.800,0.167,276.600,0.061
245.3,-0.106,261.900,0.398,268.300,0.165,277.100,0.060
245.3,-0.117,261.900,0.385,268.700,0.155,277.600,0.058
245.5,-0.046,262.100,0.366,269.000,0.147,278.100,0.056
245.7,-0.127,262.200,0.353,269.300,0.138,278.500,0.056
245.7,0.017,262.300,0.340,269.700,0.127,279.000,0.054
